Date,Open,High,Low,Close,Volume,Adj. Close
20/10/2001,9162.81,9278.36,9027.74,9204.11,1.29E+09,9204.11
19/10/2001,9162.81,9278.36,9027.74,9204.11,1.29E+09,9204.11
18/10/2001,9230.75,9310.33,9061.02,9163.22,1.26E+09,9163.22
17/10/2001,9389.76,9539.22,9199.89,9232.97,1.45E+09,9232.97
16/10/2001,9346.31,9479.37,9239.68,9384.23,1.21E+09,9384.23
15/10/2001,9340.84,9417.51,9181.07,9347.62,1.02E+09,9347.62
14/10/2001,9409.07,9426.3,9146.34,9344.16,1.33E+09,9344.16
13/10/2001,9409.07,9426.3,9146.34,9344.16,1.33E+09,9344.16
12/10/2001,9409.07,9426.3,9146.34,9344.16,1.33E+09,9344.16
11/10/2001,9242.63,9522.61,9204.04,9410.45,1.70E+09,9410.45
10/10/2001,9052.3,9305.97,8975.15,9240.86,1.31E+09,9240.86
9/10/2001,9066.56,9168.42,8927.34,9052.44,1.23E+09,9052.44
8/10/2001,9115.75,9187.85,8937.86,9067.94,9.79E+08,9067.94
7/10/2001,9058.83,9208.41,8894.47,9119.77,1.30E+09,9119.77
6/10/2001,9058.83,9208.41,8894.47,9119.77,1.30E+09,9119.77
5/10/2001,9058.83,9208.41,8894.47,9119.77,1.30E+09,9119.77
4/10/2001,9127.24,9259.61,8982.28,9060.88,1.61E+09,9060.88
3/10/2001,8946.02,9193.32,8800.99,9123.78,1.65E+09,9123.78
2/10/2001,8836.69,9001.03,8737.61,8950.59,1.29E+09,8950.59
1/10/2001,8845.97,8931.7,8659.9,8836.83,1.18E+09,8836.83
30/09/2001,8679.07,8945.68,8633.75,8847.56,1.73E+09,8847.56
29/09/2001,8679.07,8945.68,8633.75,8847.56,1.73E+09,8847.56
28/09/2001,8679.07,8945.68,8633.75,8847.56,1.73E+09,8847.56
27/09/2001,8567.46,8757.47,8398.14,8681.42,1.47E+09,8681.42
26/09/2001,8660.06,8766.81,8457.37,8567.39,1.52E+09,8567.39
25/09/2001,8605.59,8778.23,8435.56,8659.97,1.61E+09,8659.97
24/09/2001,8242.32,8733.39,8242.32,8603.86,1.75E+09,8603.86
23/09/2001,8356.56,8484.22,7926.93,8235.81,2.32E+09,8235.81
22/09/2001,8356.56,8484.22,7926.93,8235.81,2.32E+09,8235.81
21/09/2001,8356.56,8484.22,7926.93,8235.81,2.32E+09,8235.81
