Date,Adj.close,Buy/Sell,Bank,Shares
14/10/2002,7877.4,0.0,849.0076159997136,0.0
15/10/2002,8255.68,0.0,850.0076159997136,0.0
16/10/2002,8036.03,0.0,851.0076159997136,0.0
17/10/2002,8275.04,0.0,852.0076159997136,0.0
18/10/2002,8322.4,0.0,853.0076159997136,0.0
19/10/2002,8322.4,0.0,854.0076159997136,0.0
20/10/2002,8322.4,0.0,855.0076159997136,0.0
21/10/2002,8538.24,0.0,856.0076159997136,0.0
22/10/2002,8450.16,0.0,857.0076159997136,0.0
23/10/2002,8494.27,0.0,858.0076159997136,0.0
24/10/2002,8317.34,0.0,859.0076159997136,0.0
25/10/2002,8443.99,0.0,860.0076159997136,0.0
26/10/2002,8443.99,0.0,861.0076159997136,0.0
27/10/2002,8443.99,0.0,862.0076159997136,0.0
28/10/2002,8368.04,0.0,863.0076159997136,0.0
29/10/2002,8368.94,0.0,864.0076159997136,0.0
30/10/2002,8427.41,0.0,865.0076159997136,0.0
31/10/2002,8397.03,0.0,866.0076159997136,0.0
1/11/2002,8517.64,0.0,867.0076159997136,0.0
2/11/2002,8517.64,0.0,868.0076159997136,0.0
3/11/2002,8517.64,0.0,869.0076159997136,0.0
4/11/2002,8571.6,0.0,870.0076159997136,0.0
5/11/2002,8678.27,0.0,871.0076159997136,0.0
6/11/2002,8771.01,0.0,872.0076159997136,0.0
7/11/2002,8586.24,0.0,873.0076159997136,0.0
8/11/2002,8537.13,0.0,874.0076159997136,0.0
9/11/2002,8537.13,0.0,875.0076159997136,0.0
10/11/2002,8537.13,0.0,876.0076159997136,0.0
11/11/2002,8358.95,0.0,877.0076159997136,0.0
12/11/2002,8386.0,0.1043851172372662,0.0,0.1043851172372662
13/11/2002,8398.49,0.0,1.0,0.1043851172372662
14/11/2002,8542.13,0.0,2.0,0.1043851172372662
15/11/2002,8579.09,0.0,3.0,0.1043851172372662
16/11/2002,8579.09,0.0,4.0,0.1043851172372662
17/11/2002,8579.09,0.0,5.0,0.1043851172372662
18/11/2002,8486.57,0.0,6.0,0.1043851172372662
19/11/2002,8474.78,0.0,7.0,0.1043851172372662
20/11/2002,8623.01,0.0,8.0,0.1043851172372662
21/11/2002,8845.15,0.0,9.0,0.1043851172372662
22/11/2002,8804.84,0.0,10.0,0.1043851172372662
23/11/2002,8804.84,0.0,11.0,0.1043851172372662
24/11/2002,8804.84,0.0,12.0,0.1043851172372662
25/11/2002,8849.4,0.0,13.0,0.1043851172372662
26/11/2002,8676.42,0.0,14.0,0.1043851172372662
27/11/2002,8931.68,0.0,15.0,0.1043851172372662
28/11/2002,8931.68,0.0,16.0,0.1043851172372662
29/11/2002,8896.09,0.0,17.0,0.1043851172372662
30/11/2002,8896.09,0.0,18.0,0.1043851172372662
1/12/2002,8896.09,0.0,19.0,0.1043851172372662
2/12/2002,8862.57,0.0,20.0,0.1043851172372662
3/12/2002,8742.93,0.0,21.0,0.1043851172372662
4/12/2002,8737.85,0.0,22.0,0.1043851172372662
5/12/2002,8623.28,0.0,23.0,0.1043851172372662
6/12/2002,8645.77,0.0,24.0,0.1043851172372662
7/12/2002,8645.77,0.0,25.0,0.1043851172372662
8/12/2002,8645.77,0.0,26.0,0.1043851172372662
9/12/2002,8473.41,0.0,27.0,0.1043851172372662
10/12/2002,8574.26,0.0,28.0,0.1043851172372662
