Date,Open,High,Low,Close,Volume,Adj. Close*
24-Sep-04,10039.42,10111.39,9993.92,10047.24,1255399936,10047.24
23-Sep-04,10108.29,10134.84,9999.67,10038.90,1286300032,10038.90
22-Sep-04,10244.05,10244.05,10075.33,10109.18,1379900032,10109.18
21-Sep-04,10204.52,10291.39,10159.54,10244.93,1324999936,10244.93
20-Sep-04,10283.87,10293.23,10152.90,10204.89,1197600000,10204.89
17-Sep-04,10245.82,10352.37,10219.71,10284.46,1422599936,10284.46
16-Sep-04,10231.59,10315.72,10194.35,10244.49,1113900032,10244.49
15-Sep-04,10316.90,10324.87,10195.60,10231.36,1256000000,10231.36
14-Sep-04,10315.13,10374.79,10260.93,10318.16,1204499968,10318.16
13-Sep-04,10306.65,10380.47,10250.61,10314.76,1299800064,10314.76
10-Sep-04,10289.47,10348.68,10196.19,10313.07,1261200000,10313.07
9-Sep-04,10313.36,10337.33,10269.49,10289.10,1371299968,10289.10
8-Sep-04,10342.42,10390.64,10267.94,10313.36,1246300032,10313.36
7-Sep-04,10261.52,10388.95,10255.62,10341.16,1214400000,10341.16
3-Sep-04,10277.82,10346.99,10229.52,10260.20,924169984,10260.20
2-Sep-04,10168.39,10312.99,10129.01,10290.28,1118400000,10290.28
1-Sep-04,10170.12,10230.48,10092.37,10168.46,1142099968,10168.46
31-Aug-04,10121.97,10198.03,10056.09,10173.92,1138200064,10173.92
30-Aug-04,10193.83,10226.87,10110.43,10122.52,843100032,10122.52
27-Aug-04,10174.07,10235.49,10143.91,10195.01,845400000,10195.01
26-Aug-04,10181.07,10225.61,10124.88,10173.41,1023600000,10173.41
25-Aug-04,10098.49,10224.29,10041.93,10181.74,1192199936,10181.74
24-Aug-04,10074.89,10165.07,10044.66,10098.63,1092499968,10098.63
23-Aug-04,10111.10,10159.54,10046.72,10073.05,1021900032,10073.05
20-Aug-04,10040.81,10143.76,9989.65,10110.14,1199900032,10110.14
19-Aug-04,10082.78,10111.91,9972.39,10040.82,1249400064,10040.82
18-Aug-04,9964.22,10097.01,9910.82,10083.15,1282499968,10083.15
17-Aug-04,9955.50,10053.21,9916.05,9972.83,1267800064,9972.83
16-Aug-04,9825.35,9987.58,9807.44,9954.55,1206200064,9954.55
13-Aug-04,9814.11,9897.34,9746.60,9825.35,1175100032,9825.35
12-Aug-04,9936.48,9940.02,9780.52,9814.59,1405100032,9814.59
11-Aug-04,9931.24,9981.61,9804.63,9938.32,1410400000,9938.32
10-Aug-04,9815.55,9961.70,9798.44,9944.67,1245600000,9944.67
9-Aug-04,9816.14,9902.49,9773.74,9814.66,1086000000,9814.66
6-Aug-04,9960.67,9963.47,9767.54,9815.33,1520999936,9815.33
5-Aug-04,10127.10,10158.44,9945.84,9963.03,1397400064,9963.03
4-Aug-04,10117.96,10186.16,10029.02,10126.51,1369200000,10126.51
3-Aug-04,10178.27,10228.49,10064.57,10120.24,1338300032,10120.24
2-Aug-04,10138.45,10224.29,10063.75,10179.16,1276000000,10179.16
30-Jul-04,10129.12,10194.13,10045.76,10139.71,1298200064,10139.71
29-Jul-04,10115.52,10213.08,10049.74,10129.24,1530099968,10129.24
28-Jul-04,10084.03,10170.31,9966.34,10117.07,1554300032,10117.07
27-Jul-04,9963.54,10133.95,9942.75,10085.14,1610800000,10085.14
26-Jul-04,9964.71,10054.32,9874.38,9961.92,1413400064,9961.92
23-Jul-04,10045.46,10069.51,9893.93,9962.22,1337500032,9962.22
22-Jul-04,10047.60,10114.41,9906.62,10050.33,1680800000,10050.33
21-Jul-04,10156.30,10279.96,10027.92,10046.13,1679500032,10046.13
20-Jul-04,10094.43,10186.90,10031.24,10149.07,1445799936,10149.07
19-Jul-04,10140.95,10211.60,10027.33,10094.06,1319900032,10094.06
16-Jul-04,10162.34,10289.40,10095.32,10139.78,1450300032,10139.78
15-Jul-04,10208.20,10275.27,10115.81,10163.16,1408700032,10163.16
14-Jul-04,10232.84,10313.95,10129.31,10208.80,1462000000,10208.80
13-Jul-04,10238.37,10297.58,10188.45,10247.59,1199699968,10247.59
12-Jul-04,10211.75,10284.39,10130.42,10238.22,1114599936,10238.22
9-Jul-04,10173.12,10277.16,10150.32,10213.22,1186300032,10213.22
8-Jul-04,10238.52,10297.73,10134.99,10171.56,1401100032,10171.56
7-Jul-04,10211.92,10300.53,10156.45,10240.29,1328600064,10240.29
6-Jul-04,10280.26,10308.43,10163.60,10219.34,1283299968,10219.34
2-Jul-04,10334.00,10371.40,10228.71,10282.83,1084999936,10282.83
1-Jul-04,10434.00,10473.23,10255.55,10334.16,1495699968,10334.16
30-Jun-04,10413.43,10489.16,10348.98,10435.48,1473799936,10435.48
29-Jun-04,10356.35,10460.25,10315.65,10413.43,1375000064,10413.43
28-Jun-04,10377.52,10505.16,10317.64,10357.09,1354599936,10357.09
25-Jun-04,10444.24,10514.67,10329.88,10371.84,1812899968,10371.84
24-Jun-04,10477.43,10530.01,10398.16,10443.81,1394899968,10443.81
23-Jun-04,10395.14,10498.67,10323.32,10479.57,1444199936,10479.57
22-Jun-04,10370.21,10431.05,10284.24,10395.07,1382300032,10395.07
21-Jun-04,10417.82,10471.76,10336.44,10371.47,1123900032,10371.47
18-Jun-04,10375.82,10471.84,10328.20,10416.41,1500600064,10416.41
17-Jun-04,10378.59,10417.69,10308.25,10377.52,1296700032,10377.52
16-Jun-04,10380.23,10433.52,10320.60,10379.58,1168400000,10379.58
15-Jun-04,10336.51,10464.04,10319.89,10380.43,1345900032,10380.43
14-Jun-04,10401.23,10403.50,10283.48,10334.73,1179399936,10334.73
10-Jun-04,10367.80,10448.00,10333.94,10410.10,1160600064,10410.10
9-Jun-04,10431.10,10466.59,10325.07,10368.44,1276800000,10368.44
8-Jun-04,10389.41,10462.97,10323.94,10432.52,1190300032,10432.52
7-Jun-04,10243.31,10410.81,10243.31,10391.08,1211800064,10391.08
4-Jun-04,10196.83,10327.84,10196.83,10242.82,1115299968,10242.82
3-Jun-04,10261.85,10309.46,10163.40,10195.91,1232400000,10195.91
2-Jun-04,10199.78,10310.10,10170.57,10262.97,1251699968,10262.97
1-Jun-04,10187.18,10254.17,10104.07,10202.65,1238000000,10202.65
28-May-04,10205.83,10250.27,10137.14,10188.45,1172600064,10188.45
27-May-04,10109.89,10267.66,10106.13,10205.20,1447500032,10205.20
26-May-04,10116.84,10175.75,10034.16,10109.89,1369400064,10109.89
25-May-04,9958.08,10139.27,9895.41,10117.62,1545699968,10117.62
24-May-04,9968.02,10084.91,9891.22,9958.43,1227500032,9958.43
21-May-04,9939.34,10058.50,9910.81,9966.74,1258599936,9966.74
20-May-04,9939.12,10014.50,9867.73,9937.64,1211000064,9937.64
19-May-04,9962.55,10124.79,9919.90,9937.71,1548600064,9937.71
18-May-04,9906.71,10028.27,9895.77,9968.51,1352999936,9968.51
17-May-04,10009.92,10009.92,9827.21,9906.91,1430099968,9906.91
14-May-04,10008.43,10096.69,9912.45,10012.87,1335900032,10012.87
13-May-04,10044.31,10100.24,9924.94,10010.74,1411100032,10010.74
12-May-04,10011.52,10089.87,9822.10,10045.16,1697600000,10045.16
11-May-04,9989.24,10092.78,9928.91,10019.47,1533799936,10019.47
10-May-04,10116.28,10116.28,9881.86,9990.02,1918400000,9990.02
7-May-04,10240.62,10302.93,10086.94,10117.34,1653600000,10117.34
6-May-04,10308.20,10332.10,10147.21,10241.26,1509299968,10241.26
5-May-04,10316.98,10382.98,10249.63,10310.95,1468999936,10310.95
4-May-04,10314.32,10403.14,10232.31,10317.20,1662099968,10317.20
3-May-04,10227.27,10365.74,10199.67,10314.00,1571600000,10314.00
30-Apr-04,10273.06,10374.61,10198.39,10225.57,1634700032,10225.57
29-Apr-04,10339.41,10443.81,10199.31,10272.27,1859000064,10272.27
28-Apr-04,10476.67,10479.58,10301.65,10342.60,1855600000,10342.60
27-Apr-04,10445.38,10570.92,10410.52,10478.16,1518000000,10478.16
